,edit_count,sentiment,neg_sentiment
2014-04-07,2.3666666666666667,-0.2678767948128559,0.5125925925925926
2014-04-08,2.3333333333333335,-0.23492512392776985,0.4792592592592593
2014-04-09,2.4,-0.2674034571095749,0.5014814814814815
2014-04-10,2.3666666666666667,-0.26385518697676835,0.4959259259259259
2014-04-11,2.4,-0.22484244460308994,0.4737037037037037
2014-04-12,2.2333333333333334,-0.20679805520508024,0.46444444444444444
2014-04-13,2.2333333333333334,-0.20679805520508024,0.46444444444444444
2014-04-14,2.1666666666666665,-0.1791235630048646,0.4311111111111111
2014-04-15,2.1,-0.1765262727273835,0.41444444444444445
2014-04-16,2.033333333333333,-0.14566530694564184,0.39499999999999996
2014-04-17,2.066666666666667,-0.10331360376543469,0.37277777777777776
2014-04-18,1.9,-0.0685841597782241,0.3561111111111111
